Account,trades,volume_usd,gross_pnl,fees,net_pnl
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,56543565.23,2143382.597689,15995.31825182,2127387.27943718
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,61697263.97,1600229.819979,7405.312304,1592824.507675
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,68036340.24,940163.80622,8596.705666219,931567.100553781
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,74107810.44,836080.553077,13352.89970895,822727.65336805
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,420876556.36,840422.555216,76424.64289169,763997.91232431
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,39572949.25,677747.050643,8025.99239419,669721.05824881
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,11474500.92,429355.565915,1551.43726629,427804.12864871
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,2966109.22,416541.872341,747.006931,415794.86541
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430,3051144.33,403011.504159,290.01104816,402721.49311084
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,25729497.24,379095.406711,2595.25914168,376500.14756932
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,129672529.28,308975.869716,40724.467403,268251.402313
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,20737391.71,220519.061853,4773.09848443,215745.96336857
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,1987527.6099999999,199505.592732,267.967088979,199237.625643021
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,10166880.2,168658.004994,3108.196722,165549.808272
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,6757022.1,132464.814554,2218.3673664509,130246.4471875491
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,10992355.74,126578.942134,2821.95879926,123756.98333474
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,728057.51,108731.216772,186.8360769324,108544.3806950676
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,19868207.98,106302.875256,2287.9554331042,104014.9198228958
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,4408828.9,103343.716161,1230.8465211819,102112.8696398181
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,861809.4,72846.484272,189.93800451,72656.54626749
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,1677425.72,67845.619531,548.72926461,67296.89026639
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,11999173.37,65513.657906,3384.88221858,62128.775687420006
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,1143896.46,53496.247243,176.274175917,53319.973067082996
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,12035487.66,47885.320514,2729.83788853,45155.48262547
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,12304786.84,43917.008976,3792.54309547,40124.46588053
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,4448323.26,21758.831753,541.7456094464,21217.0861435536
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,5844484.45,14900.443047,780.21690296,14120.22614404
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,17193375.42,14456.919335999997,1458.65712607,12998.262209929999
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,108877041.1,22488.500821,28643.173715,-6154.672893999999
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,1409902.0,-31203.599986,147.07476338,-31350.67474938
0x271b280974205ca63b716753467d5a371de622ab,3809,33873440.42,-70436.191318,9280.98285,-79717.174168
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,10143758.13,-167621.124781,1579.38545192,-169200.51023292
